metal_linker,organic_linker1,organic_linker2,topology,CO2/N2_selectivity,heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],functional_groups1,functional_groups2
3,1,5,5,16.31514308,9.373349,3,5
2,1,8,5,22.93869682,5.629371,-1,-1
4,5,14,0,49.06303552,7.898252,9,10
2,4,29,5,9.961563974,4.452032,-1,-1
3,4,22,5,24.6116065,6.549527,12,6
2,1,10,5,38.90448439,6.542976,4,16
4,13,21,0,20.78469527,5.6947220000000005,8,18
3,4,13,5,21.17823032,5.85266,7,8
2,10,14,5,51.14021337,7.549067999999998,-1,-1
9,2,7,8,17.13998273,5.583475,-1,-1
9,2,23,8,75.4366802,8.347532000000001,2,18
2,4,4,5,12.48769999,5.340487,-1,-1
4,1,15,0,81.28921491,8.259375,4,17
9,1,2,8,55.64127948,7.4920149999999985,-1,0
3,10,26,5,32.80552658,6.705356,7,-1
9,12,22,8,36.00516495,6.543727,4,-1
10,43,54,2,18.23175077,5.803796,-1,-1
3,4,26,5,15.15622531,5.031015,-1,-1
2,22,24,5,32.98609899,7.951307,7,13
2,16,26,5,10.83897848,5.390651999999999,-1,-1
4,7,23,0,17.38975965,5.464942,10,-1
9,3,3,8,14.9368503,5.97393,2,4
3,1,11,5,9.814337462,5.101187,-1,-1
3,4,11,5,14.28023539,5.599216,-1,-1
2,2,14,5,14.86757338,5.519496,-1,-1
4,11,22,0,49.01277444,7.11009,5,-1
3,1,17,5,27.90610623,6.131951,10,13
12,4,22,1,13.46416258,5.941175,14,0
2,1,26,5,14.44231104,5.805659,10,13
2,4,24,5,32.92136542,6.099853,16,7
2,4,6,5,16.02681519,5.648513,7,1
10,44,46,2,18.79535645,6.5143830000000005,8,15
3,10,29,5,53.69844884,7.366952,-1,-1
3,14,14,5,55.09828224,6.698426,1,5
2,12,23,5,14.24850867,5.03126,-1,7
2,12,22,5,136.8309415,8.124383,3,2
2,4,26,5,20.00590045,5.715706,6,10
9,2,19,8,70.49067018,8.891691999999999,2,16
4,1,9,0,69.40245183,7.608714999999998,8,2
10,49,57,2,70.34043239,6.987013,3,12
9,13,24,8,47.62180931,8.558396999999998,2,5
2,13,17,5,14.27652264,5.754997,1,8
3,11,14,5,17.98338983,5.924987000000001,16,2
9,6,18,8,39.98476837,6.709109,1,-1
12,9,11,1,45.61931697,7.129692,5,4
4,1,11,0,145.8519469,7.965403,15,4
10,42,53,2,18.27376216,6.3325260000000005,-1,6
2,40,40,3,32.63049637,6.678075,-1,-1
2,17,24,5,33.79252262,6.370807,7,5
4,7,27,0,14.48579991,5.984911,5,1
10,43,43,2,20.35760586,5.662479,6,-1
2,4,19,5,23.93358258,6.745928,14,5
12,24,24,1,24.12071258,6.882797999999999,-1,-1
3,5,28,5,16.21914154,5.353354,15,12
2,4,17,5,21.27608561,5.601234,17,18
2,24,24,5,14.83235851,5.650265,13,-1
12,1,10,1,27.03295143,5.803743,17,14
2,4,13,5,16.85115822,5.278165,10,15
1,1,9,5,12.50898963,5.869273000000001,12,3
3,18,26,5,11.36491866,4.9709650000000005,12,8
2,4,9,5,14.79120559,8.378703999999999,14,5
2,14,23,5,26.59120313,6.248635,16,6
3,14,25,5,13.3587381,5.605266,14,6
10,50,54,2,16.14651525,6.122266000000001,0,4
10,51,54,2,17.5463788,5.986096,-1,12
4,2,25,0,14.3876494,4.832255,-1,0
3,4,23,5,23.02159584,5.710565,-1,4
2,12,28,5,29.10344189,5.834708999999999,15,2
12,4,13,1,14.94731675,5.013868,-1,-1
2,1,14,5,8.702856652000001,5.333503,-1,-1
1,10,18,5,15.51098764,5.440875,5,14
3,12,18,5,19.71847852,6.069954,16,4
4,4,15,0,59.5958129,10.504869,5,15
2,12,22,5,10.23786298,5.461244000000001,-1,-1
9,17,22,8,39.95604885,8.323447999999999,6,-1
3,3,5,5,5.866541028,4.773778,-1,-1
2,17,22,5,12.77408908,4.870674,17,4
9,5,13,8,21.29116661,6.40984,-1,1
2,3,5,5,16.60531773,5.965314,-1,-1
2,18,19,5,20.56871573,5.802122,2,7
2,11,29,5,6.976184257000001,4.426444999999999,8,13
2,8,9,5,9.433643039,5.741276999999999,9,10
12,9,13,1,16.29223327,6.101636,15,18
3,1,13,5,11.80600064,5.633935,-1,-1
2,1,21,5,12.47082934,4.92396,-1,-1
2,10,14,5,56.54015153,8.803230000000001,1,-1
2,12,16,5,14.14997666,5.415092,8,18
9,17,24,8,25.98986899,6.516356,-1,-1
2,16,19,5,11.9501979,5.181153,12,15
9,16,20,8,21.97819318,5.843495,-1,-1
9,6,18,8,28.77505845,6.281518,1,5
3,4,10,5,39.05574736,8.168205999999998,10,13
9,27,28,8,18.96663808,5.149583,5,0
2,4,17,5,17.93884327,5.329616000000001,-1,8
4,3,27,0,11.71369042,5.858967,1,12
12,4,12,1,16.48507422,5.194176000000001,-1,-1
9,2,2,8,33.16639326,6.496802,13,0
2,1,16,5,14.97358834,5.033047,13,2
9,1,13,8,17.72483774,5.343192,-1,9
9,17,19,8,51.62192402,8.561104999999998,3,0
9,4,22,8,19.07957165,5.935221,-1,-1
10,46,57,2,46.31276179,7.499336999999999,3,5
12,11,12,1,14.70198143,4.623233,9,5
2,9,13,5,39.80962208,6.421809,0,5
3,14,21,5,21.57886292,6.8331550000000005,3,17
1,1,17,5,15.30930059,5.6369940000000005,-1,-1
3,18,22,5,42.32078629,7.126894999999999,14,19
3,38,40,3,21.64628553,6.322279,1,9
3,12,17,5,19.78287113,5.234251,0,16
3,4,28,5,15.12601919,5.685939,6,13
2,14,19,5,12.67241255,5.122358,5,12
2,11,16,5,13.42939311,5.292285,13,7
2,10,23,5,23.32120169,6.32042,10,16
3,10,12,5,52.78504124,7.558017999999999,-1,-1
12,4,13,1,15.25623239,5.102562,15,6
2,11,25,5,13.91431307,5.270449,15,3
4,1,11,0,29.42240063,6.507189,-1,-1
2,4,17,5,16.80525508,5.755783,16,3
3,4,11,5,12.80790114,5.764483,-1,-1
9,17,23,8,40.01839874,7.090596000000001,0,3
3,13,18,5,30.64746474,7.1231800000000005,18,19
2,14,23,5,34.38732548,6.517128,13,18
3,1,23,5,16.52877983,5.90621,14,0
2,22,29,5,12.54479306,4.768506,13,12
2,4,12,5,14.86769268,6.080971,-1,-1
3,17,23,5,11.99842479,5.436028,1,-1
3,10,26,5,33.61596764,6.04063,1,7
4,3,7,0,23.53673478,5.541155000000001,9,3
4,2,17,0,18.59614307,5.879903,-1,-1
9,18,19,8,47.65238584,7.612999,0,14
12,9,11,1,32.87672328,6.783421000000001,15,5
3,14,14,5,78.65913951999998,7.299708,18,13
2,1,9,5,31.25745864,7.137127,-1,-1
9,1,16,8,63.03644988,7.346878999999999,15,6
2,38,38,3,19.90370816,6.889225,19,9
9,18,29,8,26.17238425,7.662244,12,5
3,5,17,5,98.03757546000001,8.384636,5,0
3,4,22,5,56.25974589,7.111238,5,8
2,14,27,5,13.25848209,5.195005999999999,-1,-1
1,10,10,5,24.16630716,5.49868,16,2
3,11,29,5,23.61394984,6.009787,7,3
2,18,23,5,17.44374502,5.603912,14,10
2,4,17,5,31.99071958,6.383312,0,-1
2,4,13,5,14.95474724,5.604142,19,5
9,3,18,8,34.58764994,6.465797,-1,-1
10,48,53,2,16.95137134,5.997991000000001,0,4
3,4,26,5,10.48995568,5.081701,-1,8
2,24,27,5,25.77907459,6.2161800000000005,3,2
2,9,16,5,17.61561631,5.74303,-1,15
2,9,24,5,47.007571,7.017882000000001,12,16
3,4,16,5,20.13720178,5.722497,-1,-1
2,13,14,5,14.57299365,5.5468720000000005,13,18
3,11,14,5,10.98557783,6.015639,-1,18
2,2,10,5,18.57664252,5.998296,-1,-1
4,3,3,0,10.04138402,5.460116,17,7
3,14,17,5,19.79328401,5.83009,-1,-1
9,16,18,8,106.8174695,8.297475,5,15
3,17,24,5,15.0475584,5.282101,-1,-1
9,2,16,8,160.09951,9.59024,-1,-1
1,10,12,5,54.43118273,6.918809,3,9
4,11,15,0,73.68282823,9.204331,7,2
3,14,21,5,14.22279244,5.738678,1,8
2,16,28,5,16.92025829,5.723706,1,3
4,4,19,0,20.45337758,5.676080000000001,17,-1
4,11,14,0,71.13808815,8.177944,10,5
3,18,25,5,9.224956839,4.646496,1,12
4,19,22,0,33.16761341,6.238256,10,3
2,12,16,5,91.27998576,8.398439,17,2
2,16,24,5,79.38962187,7.422478999999998,2,8
9,7,18,8,28.82599859,6.1684470000000005,-1,-1
3,4,17,5,13.27236717,5.390532,-1,-1
9,16,26,8,51.32909926,6.681808,7,0
2,4,28,5,12.56189462,5.077237,0,5
4,22,24,0,60.57007564,7.596485,13,12
9,1,1,8,13.97951809,4.882482,-1,-1
2,1,10,5,47.25154092,6.526214,17,0
2,9,18,5,25.76122341,6.630724000000001,2,-1
1,15,15,5,10.7206713,4.842716,-1,-1
3,10,29,5,27.23562773,9.316597,10,14
12,1,12,1,16.70384514,5.479506,-1,-1
3,22,25,5,17.77406337,5.85192,7,17
2,9,18,5,67.54702468,7.284128,10,19
4,1,5,0,62.57237803,7.120726,9,2
12,9,12,1,30.03768013,6.343572,-1,-1
3,14,29,5,10.02419369,4.4566,-1,-1
3,16,24,5,15.38117339,6.405931,1,15
9,2,17,8,44.19886509,10.700387,9,12
3,1,29,5,13.04458867,6.384213,1,17
9,13,20,8,17.71759109,6.268641000000001,-1,-1
9,2,4,8,12.35641934,5.277085,12,2
3,4,29,5,20.22449946,5.285264,12,4
2,21,22,5,13.08205806,6.135599,3,16
2,13,15,5,28.05440612,6.157830000000001,15,6
2,9,14,5,32.85948018,7.633306,5,1
10,54,54,2,19.98296829,5.42719,15,5
12,1,24,1,13.24947326,5.249738,-1,-1
2,12,18,5,19.00747803,5.685247,4,17
2,10,28,5,46.37744309,7.047953999999999,7,13
3,1,17,5,15.41355636,5.812259,-1,-1
2,4,29,5,15.07667176,5.349553,1,7
12,4,22,1,19.19895373,5.479445,-1,-1
9,5,24,8,19.04398049,6.161794,-1,-1
2,18,20,5,21.64438399,5.520867,3,5
2,11,29,5,20.09681025,5.748061,9,-1
2,10,23,5,32.72475091,8.086152999999998,19,17
9,12,22,8,17.868656299999998,5.414845,-1,-1
2,11,26,5,11.93654174,5.432837,6,12
1,1,29,5,11.3688808,5.390287,3,-1
2,10,25,5,65.99198964,7.282796,6,10
2,10,16,5,58.72258025,7.902002999999999,13,9
3,4,14,5,17.63720919,5.980544999999999,7,8
10,49,56,2,33.8495415,5.663824,-1,-1
2,17,26,5,14.40585706,5.708727,3,6
3,38,40,3,19.8049411,5.506858,-1,-1
3,1,18,5,15.35455013,5.523739,-1,-1
2,10,14,5,115.835244,8.592900999999998,-1,-1
2,10,29,5,82.0077223,7.029081,7,6
3,16,24,5,24.27672292,6.752089,4,5
3,1,27,5,10.95983346,5.33629,-1,-1
12,1,4,1,13.15626873,4.937993,-1,-1
3,13,14,5,20.1317163,5.547149,13,6
3,11,11,5,36.96108084,7.057617,10,1
9,11,18,8,77.32120696,7.084859,-1,2
2,16,24,5,21.41528408,5.959861,-1,-1
4,14,22,0,75.78961040999998,9.171745,0,8
3,5,17,5,65.00582219,7.62967,15,9
3,3,18,5,17.40733854,5.689235,4,2
3,4,9,5,38.72420694,7.789536999999998,-1,-1
9,2,18,8,17.51864016,9.31228,15,13
1,9,11,5,14.686130599999998,5.510142,2,4
2,14,27,5,16.18323556,5.501003,-1,-1
10,43,56,2,36.90635137,6.648548,1,0
3,13,22,5,10.94185169,5.125059,-1,4
2,4,24,5,20.98161238,6.186593,-1,-1
3,2,5,5,33.87966971,5.912901000000001,5,1
2,6,10,5,19.08550128,5.857718,17,19
3,1,4,5,12.96816594,5.235942,-1,5
2,10,29,5,86.507204,7.676939999999998,-1,-1
3,13,18,5,15.23677456,5.365395,5,3
1,8,10,5,16.53404273,5.08523,2,3
3,10,28,5,42.82319612,7.299238,18,-1
4,2,23,0,16.17368657,5.92322,-1,-1
2,14,26,5,22.36306191,4.842403,14,1
3,24,28,5,33.80176323,6.204497,8,2
9,2,18,8,456.2986475,10.14261,-1,-1
9,16,23,8,40.73537106,6.630814999999999,-1,-1
2,24,24,5,29.46022599,5.654323000000001,12,10
3,1,4,5,43.76800457,7.830339,7,4
2,4,18,5,28.53345204,6.207783,5,0
3,4,5,5,15.21988321,5.996048,-1,5
12,9,10,1,49.6294134,7.3599809999999986,8,-1
10,44,54,2,24.77768238,6.224036,4,1
3,11,14,5,11.48936684,4.967639,-1,-1
3,12,22,5,32.48205323,7.117542,15,6
3,4,22,5,48.35353891,7.369181,18,6
12,4,10,1,34.82985047,6.177385,-1,-1
3,1,25,5,10.73880607,4.925572,0,8
9,18,20,8,31.900732399999995,6.524604,13,15
3,2,16,5,8.463941464999998,4.728081,5,19
2,1,10,5,49.72548404,7.309008999999999,10,7
2,10,28,5,41.09430083,6.883649,5,15
2,10,11,5,28.50982532,5.98744,-1,-1
2,14,20,5,13.759072,5.498412999999999,-1,-1
12,11,22,1,11.56593475,4.9298,3,7
4,1,24,0,40.13182249,6.977169,-1,15
4,4,11,0,90.73051763,8.897631,9,1
2,14,17,5,29.38308175,6.413588,4,18
3,7,10,5,18.16310781,5.9569220000000005,14,7
12,2,18,1,12.96650858,5.06764,-1,-1
3,1,23,5,17.50644538,5.254832,-1,-1
9,7,18,8,31.90026787,6.093579,-1,-1
2,11,16,5,29.54122751,7.570738,3,8
3,1,2,5,38.48353779999999,6.875917,-1,-1
3,12,28,5,26.40187699,6.013203,18,10
4,1,19,0,37.64926837,5.621017,16,0
4,14,14,0,74.37900775999998,8.884732000000001,-1,-1
10,54,54,2,25.710531600000003,5.7929900000000005,4,2
9,18,23,8,30.75303367,6.119756,17,-1
3,4,12,5,19.31548961,6.554687,18,9
2,4,27,5,16.48229734,5.201329,3,0
1,4,14,5,18.34765462,5.780024,4,12
10,47,54,2,17.96347996,5.476816,-1,10
3,4,12,5,31.79983861,6.746921,13,4
3,13,16,5,13.11963696,5.412357,12,16
2,16,18,5,16.03415011,5.701259,9,0
4,11,14,0,46.98319438,6.418135,18,10
9,17,23,8,18.9959892,5.036315,7,17
12,4,4,1,21.16278015,5.780283,5,18
9,11,16,8,60.08913887,6.929061,5,-1
4,13,21,0,18.60530531,5.979998,4,16
9,4,22,8,26.49465285,6.575063,10,18
9,13,13,8,40.80572129,7.978878999999998,-1,-1
3,4,21,5,18.33032738,6.435225,9,14
2,22,23,5,15.66033128,5.574472,-1,-1
2,17,24,5,15.19902936,5.916580000000001,-1,4
9,5,13,8,111.0592749,8.637382,-1,-1
4,1,5,0,70.26442487,7.619391,10,16
9,1,17,8,14.58661558,5.315256,-1,-1
3,4,21,5,15.30385061,5.297067,16,10
2,18,22,5,12.86653883,5.496913,16,13
2,12,29,5,14.92859878,5.040179,15,9
4,1,1,0,75.87584230999998,8.109986,-1,8
3,10,16,5,114.3937429,7.83967,15,0
3,4,6,5,16.1980337,5.470841,0,12
1,15,22,5,22.40721792,6.300967,10,17
9,7,16,8,30.44831479,5.929644000000001,13,-1
3,38,41,3,27.07336151,5.846434,5,18
2,1,17,5,36.71873028,6.27024,1,4
9,13,16,8,81.19052643,7.499639,3,5
3,38,40,3,29.82491516,5.643086,13,0
3,14,21,5,71.52350851,7.139253999999999,2,0
3,12,17,5,53.7682751,7.365897,4,0
3,18,22,5,11.99038449,5.18959,4,6
3,4,25,5,10.65035579,5.340998,8,0
12,10,24,1,14.92067734,5.49381,-1,-1
3,11,28,5,12.40006411,4.887827,2,13
3,22,22,5,29.18416543,7.331271000000001,-1,-1
4,27,27,0,22.12528459,5.339933,7,17
9,22,24,8,43.96998881,8.123839,0,9
3,10,11,5,30.60869384,7.886019,8,6
4,19,22,0,77.7601167,7.933383999999998,4,7
2,17,29,5,10.02415377,4.840924,6,12
10,51,55,2,14.93776107,5.257625,12,8
3,2,16,5,7.849686104,5.074601,7,6
4,17,17,0,20.5592301,9.280080000000002,10,18
9,16,22,8,62.28636776,9.850964,-1,-1
1,12,13,5,17.38448439,5.658528,10,14
3,16,25,5,12.48629236,5.422831,19,17
9,5,16,8,111.26363729999998,8.830036,14,-1
3,13,17,5,11.43101511,5.176052,12,-1
1,10,16,5,12.46489374,5.395758,19,9
2,18,24,5,14.98191241,5.044693,13,15
4,1,5,0,28.64543124,7.131697999999999,4,12
2,10,26,5,10.16582982,4.70112,-1,-1
3,18,19,5,12.76631253,5.890234,2,9
2,2,5,5,57.30015255,8.490905999999999,-1,-1
3,22,28,5,20.83616959,5.547901,16,9
3,12,16,5,28.3716162,6.32335,-1,16
2,14,26,5,12.54534496,5.504561,12,9
12,9,22,1,50.4658749,6.951321000000001,-1,15
3,1,4,5,93.43529769000001,8.787471,2,18
2,16,16,5,18.021669600000003,6.070164,16,15
2,10,29,5,60.42556327,6.914606,-1,-1
10,54,56,2,16.22048089,5.644181,13,12
4,7,27,0,15.65048015,6.137727,6,2
12,1,24,1,47.01393871,7.027128,3,18
3,5,7,5,46.48380083,7.344711,-1,-1
3,4,10,5,21.78945051,6.177318,16,15
2,1,12,5,37.22152439,7.759486,-1,-1
3,1,14,5,57.79833999,7.797528,10,12
4,6,17,0,23.07833374,6.07247,2,-1
2,14,22,5,46.22500092,7.639602,-1,-1
9,18,22,8,107.8065699,8.625424,15,1
3,12,17,5,27.65036939,6.871159,-1,-1
2,14,27,5,17.56357971,5.572403,13,15
2,12,29,5,8.893391684,4.283980000000001,-1,-1
9,17,24,8,23.41335961,5.924015,5,12
2,1,5,5,75.37543941,7.877936,-1,-1
2,4,14,5,15.88127615,6.178301,4,17
9,16,16,8,75.50016841,7.825025,-1,-1
9,5,2,8,36.57322702,9.229379,12,0
3,16,24,5,14.64794038,5.575004,13,5
3,18,18,5,21.15589481,5.800549,15,2
2,18,18,5,16.65857674,5.230706,-1,8
2,4,18,5,18.64760601,6.025878,5,17
2,1,16,5,21.36764888,5.48125,15,4
3,1,12,5,55.28997186,7.56693,0,18
2,4,9,5,51.44333211,7.897572,13,18
4,4,19,0,20.69367521,5.403986,-1,-1
2,2,5,5,12.78475041,4.772687,-1,-1
9,3,28,8,16.056162699999998,6.449573,4,13
3,14,18,5,27.87242826,5.928354,17,15
3,18,21,5,21.43568378,5.7624010000000006,3,4
12,4,24,1,16.04682256,5.574978,12,13
3,18,28,5,13.62404036,5.515093,3,7
2,4,4,5,14.52920759,5.826024,-1,-1
3,10,27,5,38.34403097,7.525655,8,7
9,18,28,8,45.39709237,7.3589509999999985,-1,-1
9,4,22,8,36.12307085,7.842660999999999,6,12
2,16,24,5,16.71280008,6.1689680000000005,8,-1
3,14,14,5,70.59261535,8.549341,-1,-1
2,4,16,5,16.63486455,5.892601,13,6
3,18,19,5,14.45249062,5.482371,12,6
3,14,25,5,12.63402929,5.369733999999999,-1,-1
1,9,24,5,16.58274993,5.713178,7,5
2,18,24,5,28.03144829,6.893741,13,6
3,9,11,4,10.45741255,5.462123,5,7
2,9,18,5,34.47272745,8.142709,1,10
9,10,29,8,73.42241192999998,7.305103999999998,-1,-1
12,22,22,1,33.63499308,7.225847,16,-1
3,17,17,5,11.83268407,4.586882,-1,-1
4,4,9,0,86.69361497,9.26115,-1,-1
3,17,27,5,11.48792065,5.368953,-1,-1
3,1,3,5,25.16506049,6.819656,1,2
4,5,24,0,45.03977799,6.761450999999999,15,18
3,16,18,5,10.17046084,4.903283,15,6
2,3,13,5,10.34685647,5.29171,3,15
10,48,51,2,44.92299775,7.670282,0,4
2,11,14,5,13.35334557,5.675132,7,18
9,16,26,8,41.70312361,6.430353,0,16
3,14,22,5,21.82634065,8.044834,7,19
1,9,15,5,15.8727345,5.701179,-1,-1
2,8,22,5,12.00824881,6.103881,2,9
2,1,22,5,15.49228326,5.679166,-1,-1
2,4,5,5,19.13393494,6.088398000000001,-1,-1
3,4,20,5,14.52064935,5.10542,6,-1
3,10,18,5,66.79266624,7.127314,-1,-1
3,2,7,5,12.9917578,5.531725,-1,-1
3,11,17,5,10.50881904,4.403933,-1,-1
2,4,10,5,90.72941359,8.053452999999998,4,-1
9,2,22,8,72.27271186999998,10.04545,15,12
2,18,23,5,12.89520548,5.485641,10,0
3,5,7,5,18.964312300000003,6.300104,-1,-1
2,18,23,5,8.66467761,4.990481,8,3
3,10,29,5,49.07261717,7.187831,12,13
12,4,13,1,26.14703399,6.279356,1,2
3,14,29,5,11.74627912,5.098028,-1,-1
2,14,26,5,12.38212942,5.245369,15,-1
3,2,16,5,11.53789302,5.607457,16,9
9,5,18,8,14.82772578,8.617161999999999,18,-1
9,16,17,8,40.33873555,6.692710000000001,13,5
3,2,18,5,10.87951492,5.100839,18,6
3,1,17,5,16.33092361,5.739617,-1,-1
4,1,4,0,64.42263191,6.452689,-1,5
4,4,15,0,62.5792791,8.244467999999998,-1,-1
9,18,24,8,81.50383459999999,8.760234,-1,-1
4,17,17,0,40.15362582,6.018731,-1,-1
9,5,24,8,27.42488175,6.944380000000001,18,10
3,7,16,5,11.31429097,5.202496,15,14
9,3,18,8,31.83665713,6.750181,-1,-1
2,4,11,5,32.94776569,6.478448,17,10
4,1,11,0,48.86421228,6.757542,-1,-1
3,17,24,5,13.17782812,5.138281,12,7
2,4,18,5,35.17027176,6.25597,0,-1
2,14,22,5,21.98808015,6.541102,-1,-1
3,4,16,5,36.40484502,6.90762,0,-1
3,22,22,5,38.14413816,7.178661,-1,-1
9,4,5,8,19.4234773,5.580781,-1,-1
2,13,20,5,18.5464168,5.983031,13,3
12,4,13,1,19.06493565,5.225148,0,18
9,13,21,8,22.9881224,6.288094,19,0
3,3,10,5,12.00450648,4.843883,7,6
3,10,26,5,16.82990002,6.144181,15,13
3,4,16,5,22.15342076,6.147303,-1,-1
3,1,18,5,23.38203963,5.765458,13,10
2,16,16,5,26.45437147,5.953829,-1,-1
